,Reactions,Charge,Masses
304,EX_cpd00065_e,,"{'C': -11.0, 'H': -12.0, 'N': -2.0, 'O': -2.0}"
305,EX_cpd00069_e,,"{'C': -9.0, 'H': -11.0, 'N': -1.0, 'O': -3.0}"
306,EX_cpd00156_e,,"{'C': -5.0, 'H': -11.0, 'N': -1.0, 'O': -2.0}"
307,EX_cpd00308_e,2.0,"{'C': -3.0, 'H': -2.0, 'O': -4.0}"
308,EX_cpd01329_e,,"{'C': -36.0, 'H': -62.0, 'O': -31.0}"
309,EX_cpd00179_e,,"{'C': -12.0, 'H': -22.0, 'O': -11.0}"
310,EX_cPY00016_e,,"{'C': -6.0, 'H': -12.0, 'O': -6.0}"
311,EX_cpd08023_e,1.0,"{'C': -1.0, 'H': -3.0, 'O': -3.0, 'S': -1.0}"
312,EX_cpd11590_e,1.0,"{'C': -8.0, 'H': -15.0, 'N': -2.0, 'O': -3.0, 'S': -1.0}"
313,EX_cpd00254_e,-2.0,{'Mg': -1.0}
314,EX_cpd00030_e,,{'Mn': -1.0}
315,EX_cpd11574_e,2.0,"{'Mo': -1.0, 'O': -4.0}"
316,EX_cpd11575_e,,"{'C': -7.0, 'H': -15.0, 'N': -1.0, 'O': -4.0, 'S': -1.0}"
317,EX_cpd00971_e,-1.0,{'Na': -1.0}
318,EX_cpd00122_e,,"{'C': -8.0, 'H': -15.0, 'N': -1.0, 'O': -6.0}"
319,EX_cpd00013_e,-1.0,"{'H': -4.0, 'N': -1.0}"
320,EX_cpd00244_e,,{'Ni': -1.0}
321,EX_cpd00209_e,1.0,"{'N': -1.0, 'O': -3.0}"
322,EX_cpd00075_e,,"{'H': -1.0, 'N': -1.0, 'O': -2.0}"
323,EX_cpd00528_e,,{'N': -2.0}
324,EX_cpd00007_e,,{'O': -2.0}
325,EX_cpd00064_e,-1.0,"{'C': -5.0, 'H': -13.0, 'N': -2.0, 'O': -2.0}"
326,EX_cpd04097_e,-2.0,{'Pb': -1.0}
327,EX_cpd00009_e,2.0,"{'H': -1.0, 'O': -4.0, 'P': -1.0}"
328,EX_cPY00116_e,6.0,"{'C': -112.0, 'H': -202.0, 'N': -3.0, 'O': -42.0, 'P': -3.0}"
329,EX_cpd00012_e,3.0,"{'H': -1.0, 'O': -7.0, 'P': -2.0}"
330,EX_cpd00141_e,1.0,"{'C': -3.0, 'H': -5.0, 'O': -2.0}"
331,EX_cpd00118_e,-2.0,"{'C': -4.0, 'H': -14.0, 'N': -2.0}"
332,EX_cpd00020_e,1.0,"{'C': -3.0, 'H': -3.0, 'O': -3.0}"
333,EX_cpd00588_e,,"{'C': -6.0, 'H': -14.0, 'O': -6.0}"
334,EX_cpd00264_e,-3.0,"{'C': -7.0, 'H': -22.0, 'N': -3.0}"
335,EX_cpd00036_e,2.0,"{'C': -4.0, 'H': -4.0, 'O': -4.0}"
336,EX_cpd00048_e,2.0,"{'O': -4.0, 'S': -1.0}"
337,EX_cpd09878_e,2.0,"{'C': -2.0, 'H': -2.0, 'O': -5.0, 'S': -1.0}"
338,EX_cpd00210_e,,"{'C': -2.0, 'H': -7.0, 'N': -1.0, 'O': -3.0, 'S': -1.0}"
339,EX_cpd00305_e,-1.0,"{'C': -12.0, 'H': -17.0, 'N': -4.0, 'O': -1.0, 'S': -1.0}"
340,EX_cpd00184_e,,"{'C': -10.0, 'H': -14.0, 'N': -2.0, 'O': -5.0}"
341,EX_cpd01242_e,,"{'C': -5.0, 'H': -10.0, 'O': -4.0}"
342,EX_cpd00851_e,,"{'C': -5.0, 'H': -9.0, 'N': -1.0, 'O': -3.0}"
343,EX_cpd00092_e,,"{'C': -4.0, 'H': -4.0, 'N': -2.0, 'O': -2.0}"
344,EX_cpd00073_e,,"{'C': -1.0, 'H': -4.0, 'N': -2.0, 'O': -1.0}"
